Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-16 Years Old,India,Total,NA,NA,NA,61.92,61.74,59.88,56.71,54.2,52.7,49.3
6-16 Years Old,India,Boy,NA,NA,NA,60.41,60.41,58.61,56.55,54,53.3,50.4
6-16 Years Old,India,Girl,NA,NA,NA,63.88,63.44,61.5,57.33,54.4,51.8,47.9
6-16 Years Old,Andaman and Nicobar Islands,Total,54.87,51.35,50.68,36.97,33.24,26.22,31.38,26.5,30.1,21.1
6-16 Years Old,Andaman and Nicobar Islands,Boy,NA,NA,NA,38.55,34.19,26.32,32.39,26.8,32.7,19
6-16 Years Old,Andaman and Nicobar Islands,Girl,NA,NA,NA,35.3,32.19,26.11,30.3,26.2,27.1,23.3
6-16 Years Old,Andhra Pradesh,Total,70.12,68.95,66.7,63.69,63.67,63.57,63.13,60.7,53.4,46.2
6-16 Years Old,Andhra Pradesh,Boy,NA,NA,NA,62.3,62.24,62.4,62.3,60.1,52.7,45.8
6-16 Years Old,Andhra Pradesh,Girl,NA,NA,NA,65.24,65.2,64.81,64,61.4,54,46.6
6-16 Years Old,Arunachal Pradesh,Total,76.04,71.66,72.09,70.79,70.25,66.91,63,63,64.9,61.7
6-16 Years Old,Arunachal Pradesh,Boy,NA,NA,NA,69.59,69.01,66.97,63.67,63.4,65,62.3
6-16 Years Old,Arunachal Pradesh,Girl,NA,NA,NA,72.3,71.78,66.84,62.21,62.4,64.7,61
6-16 Years Old,Assam,Total,75.61,74.91,74.84,74.96,76.66,77.72,75.68,79,77.6,77.4
6-16 Years Old,Assam,Boy,NA,NA,NA,75.18,76.97,78.18,80.11,78.5,77.4,76.8
6-16 Years Old,Assam,Girl,NA,NA,NA,74.69,76.26,77.14,80.18,79.6,77.8,78.1
6-16 Years Old,Bihar,Total,82.87,83.6,82.58,83.06,82.26,85.14,83.93,74.4,69.1,62.2
6-16 Years Old,Bihar,Boy,NA,NA,NA,81.46,80.73,83.95,82.76,74.5,71,64.4
6-16 Years Old,Bihar,Girl,NA,NA,NA,85.64,84.61,86.99,85.71,74.4,65.6,58.9
6-16 Years Old,Chhattisgarh,Total,NA,NA,NA,NA,NA,NA,NA,56.2,64.2,58
6-16 Years Old,Chhattisgarh,Boy,NA,NA,NA,NA,NA,NA,NA,56.2,62.8,58.4
6-16 Years Old,Chhattisgarh,Girl,NA,NA,NA,NA,NA,NA,NA,56.1,65.8,57.5
6-16 Years Old,Dadra and Nagar Haveli,Total,71.59,72.34,72.48,67.06,59.39,70.47,57.04,68.5,58.8,54.7
6-16 Years Old,Dadra and Nagar Haveli,Boy,NA,NA,NA,64.23,53.24,66.72,52.67,65.5,54.8,51.7
6-16 Years Old,Dadra and Nagar Haveli,Girl,NA,NA,NA,70.6,66.8,74.99,62.14,72.1,63.5,58.3
6-16 Years Old,Daman and Diu,Total,36.55,45.24,50.45,43.43,34.87,43.33,30.69,32.9,35.9,28.3
6-16 Years Old,Daman and Diu,Boy,NA,NA,NA,41.62,33.03,42.42,31.83,34.5,41.2,26.7
6-16 Years Old,Daman and Diu,Girl,NA,NA,NA,45.36,36.86,44.27,29.47,31,29.8,30.2
6-16 Years Old,Gujarat,Total,70.22,62.82,63.05,59.29,60.27,57.48,59.11,58.8,62.1,57.9
6-16 Years Old,Gujarat,Boy,NA,NA,NA,58.01,58.57,56.7,57.53,56.2,60.4,61.1
6-16 Years Old,Gujarat,Girl,NA,NA,NA,61.05,62.59,58.54,61.19,62.3,64.4,52.4
6-16 Years Old,Himachal Pradesh,Total,31.8,29.95,32.42,NA,29,28.17,30.21,19.7,20.7,16
6-16 Years Old,Himachal Pradesh,Boy,NA,NA,NA,NA,25.68,25.37,26.14,17.6,22.3,15.2
6-16 Years Old,Himachal Pradesh,Girl,NA,NA,NA,NA,32.47,31.04,34.23,21.9,18.9,17
6-16 Years Old,Jammu and Kashmir,Total,48.94,51.07,60.26,53.75,63.88,61.81,63.99,40.7,44.3,43.6
6-16 Years Old,Jammu and Kashmir,Boy,NA,NA,NA,54.63,65.61,62.08,63.62,42.7,47.2,47.1
6-16 Years Old,Jammu and Kashmir,Girl,NA,NA,NA,52.53,61.31,61.45,64.48,38,40.6,38.9
6-16 Years Old,Jharkhand,Total,NA,NA,NA,NA,NA,NA,NA,81.1,77,69.5
6-16 Years Old,Jharkhand,Boy,NA,NA,NA,NA,NA,NA,NA,80.1,78.5,70.6
6-16 Years Old,Jharkhand,Girl,NA,NA,NA,NA,NA,NA,NA,82.3,75,68.1
6-16 Years Old,Karnataka,Total,61.65,62.14,60.38,59.38,60.86,54.09,49.41,49.8,46.6,43.3
6-16 Years Old,Karnataka,Boy,NA,NA,NA,59.71,61.58,54.83,49.93,50.4,46.9,44.5
6-16 Years Old,Karnataka,Girl,NA,NA,NA,58.99,60.04,53.24,48.85,49.2,46.3,42.1
6-16 Years Old,Lakshadweep,Total,54.18,24.13,42.24,18.88,21.17,36.75,30.74,20.5,25.1,31.3
6-16 Years Old,Lakshadweep,Boy,NA,NA,NA,19.16,23.99,32.7,26.26,26.1,27.6,41.1
6-16 Years Old,Lakshadweep,Girl,NA,NA,NA,18.57,18.1,41.21,35.67,14.2,22.7,20.3
6-16 Years Old,Madhya Pradesh,Total,69.88,63.79,63.81,64.7,64.02,70.51,69.39,57.6,53.3,51.1
6-16 Years Old,Madhya Pradesh,Boy,NA,NA,NA,60.48,60.52,67.36,66,53.6,47.3,44.3
6-16 Years Old,Madhya Pradesh,Girl,NA,NA,NA,70.31,68.68,74.58,73.68,62.8,60.6,59.3
6-16 Years Old,Maharashtra,Total,52.28,52.05,52.08,54.16,53.68,47.54,46.17,43.7,40.5,38.2
6-16 Years Old,Maharashtra,Boy,NA,NA,NA,52.11,53.46,45.32,43.41,41.2,38.6,36.5
6-16 Years Old,Maharashtra,Girl,NA,NA,NA,56.4,53.93,49.96,49.15,46.5,42.6,40
6-16 Years Old,Manipur,Total,53.9,60.54,49.02,43.02,41.91,43.8,44.6,58,56.8,45.3
6-16 Years Old,Manipur,Boy,NA,NA,NA,46.04,44.42,46.7,47.91,58.9,57.8,45.7
6-16 Years Old,Manipur,Girl,NA,NA,NA,39.58,39.09,40.49,40.83,57.1,55.7,44.8
6-16 Years Old,Meghalaya,Total,83.44,80.93,83.24,79.15,78.09,75.85,76.14,77.3,77.3,77.4
6-16 Years Old,Meghalaya,Boy,NA,NA,NA,79.64,78.66,76.38,76.78,78.4,78.4,78
